"date","close","volume","open","high","low"

"2018/11/16","104.6000","1112344.0000","103.9900","105.3000","103.6200"
"2018/11/15","105.4800","760010.0000","103.8400","106.0900","103.2500"
"2018/11/14","103.8300","789277.0000","105.2100","105.4400","103.2300"
"2018/11/13","103.7300","1828885.0000","102.1400","104.2500","102.1000"
"2018/11/12","101.4200","1349899.0000","103.1100","103.3200","101.0200"
"2018/11/09","108.3100","912520.0000","107.9200","108.5000","107.2000"
"2018/11/08","107.6100","1311046.0000","107.9400","108.6800","107.4000"
"2018/11/07","109.4900","981787.0000","108.0800","109.5100","107.8700"
"2018/11/06","106.9000","601227.0000","106.7800","107.5800","106.5400"
"2018/11/05","107.6200","523379.0000","107.7700","107.8500","106.7500"
"2018/11/02","107.6300","563638.0000","107.9500","108.4650","106.9500"
"2018/11/01","106.6700","760619.0000","107.0500","107.2000","105.9700"
"2018/10/31","107.2600","826983.0000","106.8100","107.9300","106.6700"
"2018/10/30","105.5900","877778.0000","104.3300","105.6400","103.8900"
"2018/10/29","104.2800","787987.0000","106.5400","106.7100","102.8100"
"2018/10/26","105.4100","782145.0000","104.8800","106.6488","103.8300"
"2018/10/25","106.5400","1087116.0000","104.8200","107.5200","103.8750"
"2018/10/24","103.3700","1336089.0000","106.2900","106.4300","103.3100"
"2018/10/23","107.7400","979950.0000","106.2600","108.4300","105.8700"
"2018/10/22","108.6200","1098127.0000","110.1800","110.3400","108.0300"
"2018/10/19","109.0200","1064188.0000","108.8000","109.8000","108.5800"
"2018/10/18","107.0100","2492051.0000","110.6600","111.1900","106.9800"
"2018/10/17","115.7900","963329.0000","116.2000","116.3600","115.0600"
"2018/10/16","117.4200","2058935.0000","115.9500","117.4300","115.3800"
"2018/10/15","113.2500","726934.0000","112.9100","113.9750","112.7600"
"2018/10/12","114.5300","967412.0000","114.7600","115.3200","112.3200"
"2018/10/11","112.9100","2087962.0000","113.5100","114.2100","111.5100"
"2018/10/10","113.0100","2665181.0000","116.3600","116.5100","112.7800"
"2018/10/09","119.3800","1796133.0000","117.6700","119.8000","117.6700"
"2018/10/08","117.3300","1522363.0000","117.6300","118.0400","116.2700"
"2018/10/05","120.0900","528112.0000","120.4700","121.1000","119.4600"
"2018/10/04","122.0600","536789.0000","123.0800","123.0900","121.4200"
"2018/10/03","122.7700","359481.0000","123.2400","123.2500","122.5300"
"2018/10/02","122.2100","627764.0000","122.0400","122.6000","121.4600"
"2018/10/01","123.2700","523428.0000","123.5800","123.7500","122.8700"
"2018/09/28","123.0000","1341959.0000","122.4700","123.7400","122.4700"
"2018/09/27","125.3600","855786.0000","126.0100","126.3800","125.2350"
"2018/09/26","126.1700","866215.0000","126.1700","127.1600","126.0800"
"2018/09/25","126.6100","2447752.0000","124.3200","126.6300","123.9416"
"2018/09/24","122.0400","424761.0000","121.9400","122.5100","121.4700"
"2018/09/21","121.6400","715831.0000","121.2000","122.4300","120.9100"
"2018/09/20","120.1300","835500.0000","119.7600","120.4400","119.2400"
"2018/09/19","119.4900","770409.0000","119.3100","119.8000","119.0400"
"2018/09/18","120.2800","490752.0000","119.2700","120.7407","119.2550"
"2018/09/17","119.7900","1791053.0000","120.3300","120.6300","119.7200"
"2018/09/14","121.4000","429391.0000","121.1900","121.6400","120.9050"
"2018/09/13","121.1700","723731.0000","121.5800","121.8300","120.8400"
"2018/09/12","121.0500","630479.0000","120.4200","121.4300","119.8000"
"2018/09/11","119.2900","395431.0000","117.9800","119.5200","117.6300"
"2018/09/10","118.2600","533135.0000","118.0500","118.4200","117.5800"
"2018/09/07","116.5200","569010.0000","115.5500","116.7000","115.2700"
"2018/09/06","115.3300","618544.0000","115.9600","116.1400","114.5500"
"2018/09/05","115.4100","863653.0000","117.3200","117.4000","115.3300"
"2018/09/04","118.3800","926381.0000","117.7600","118.8100","117.5500"
"2018/08/31","119.7400","443464.0000","120.1100","120.8300","119.3900"
"2018/08/30","121.2300","716347.0000","121.0700","121.8900","120.8746"
"2018/08/29","122.0500","1498897.0000","122.1000","122.4600","121.9200"
"2018/08/28","122.0300","493812.0000","122.5000","122.5121","121.8200"
"2018/08/27","122.2100","394787.0000","121.6700","122.3800","121.3200"
"2018/08/24","120.9000","324613.0000","120.2500","120.9400","119.9200"
"2018/08/23","119.2900","525488.0000","119.7400","120.1600","119.1134"
"2018/08/22","119.0800","829931.0000","119.0600","119.1000","118.4500"
"2018/08/21","117.9800","426549.0000","118.1500","118.2100","117.5800"
"2018/08/20","117.7000","748327.0000","117.7300","117.8900","117.1400"
"2018/08/17","116.9000","468746.0000","115.4800","116.9300","115.3800"
"2018/08/16","116.0800","877861.0000","115.5400","116.7800","115.2600"
"2018/08/15","113.2200","1340537.0000","112.8800","113.3500","112.1200"
"2018/08/14","114.1700","690289.0000","114.5200","114.6600","113.4200"
"2018/08/13","114.1000","636014.0000","114.4700","114.9000","113.8300"
"2018/08/10","112.8600","819892.0000","112.2600","113.3100","112.2200"
"2018/08/09","115.6900","457507.0000","116.2900","116.5099","115.5400"
"2018/08/08","116.0200","330443.0000","116.0200","116.4700","115.7800"
"2018/08/07","115.5900","321872.0000","115.9800","116.0000","115.1200"
"2018/08/06","115.2400","290538.0000","115.0000","115.6600","114.6305"
"2018/08/03","115.7100","448562.0000","115.4900","115.7800","114.8050"
"2018/08/02","115.5700","751064.0000","114.8800","115.5700","114.7900"
"2018/08/01","115.9500","1039372.0000","116.3270","116.5200","115.7500"
"2018/07/31","116.0400","1363512.0000","116.8900","117.1100","115.7900"
"2018/07/30","116.7700","708428.0000","119.0200","119.0800","116.7300"
"2018/07/27","119.0500","794184.0000","120.9400","120.9400","118.9300"
"2018/07/26","119.7000","952713.0000","119.5700","120.5100","119.3700"
"2018/07/25","119.2700","645274.0000","118.1100","119.4800","117.4900"
